RD
-156.8559, 86.89734, 150.0637, -155.9061, -28.75103, 184.5261, 45 | 0.01663408, 0.7700223, 0.3894675 | 1
-156.8244, 86.70835, 150.1368, -155.7741, -28.60282, 184.6978, 45 | 0.01661968, 0.7715514, 0.3896155 | 1
-156.8138, 86.59055, 150.194, -155.6864, -28.52362, 184.7637, 45 | 0.01657569, 0.7723426, 0.3897649 | 1
-156.8938, 86.32323, 150.3559, -155.5161, -28.24467, 184.8959, 45 | 0.01680821, 0.7739432, 0.3901193 | 1
-156.8625, 86.24986, 150.4221, -155.421, -28.10205, 184.8773, 45 | 0.01673397, 0.7746871, 0.3901293 | 1
-156.835, 85.98165, 150.5672, -155.2319, -27.79999, 185.1709, 45 | 0.01664779, 0.7773762, 0.3900588 | 1
-156.8316, 85.8584, 150.6305, -155.1596, -27.68521, 185.359, 45 | 0.0166041, 0.7787362, 0.389944 | 1
-156.7136, 85.78889, 150.7361, -155.0179, -27.42946, 185.4529, 45 | 0.01622036, 0.7808518, 0.3893303 | 1
-156.6873, 85.73331, 150.753, -154.9811, -27.45435, 185.6294, 45 | 0.01614788, 0.7819225, 0.3890561 | 1
-156.7149, 85.69311, 150.8627, -154.9252, -27.30309, 185.5905, 45 | 0.01592571, 0.7824928, 0.3888813 | 1
-156.7018, 85.68756, 150.9246, -154.8779, -27.21238, 185.4843, 45 | 0.01570654, 0.782603, 0.3888404 | 1
-156.6293, 85.68236, 151.0055, -154.7951, -27.0954, 185.3973, 45 | 0.0152486, 0.7832661, 0.3885615 | 1
-156.5265, 85.63121, 151.1547, -154.687, -26.81675, 185.5989, 45 | 0.01455441, 0.7859187, 0.3874869 | 1
-156.5644, 85.53481, 151.2219, -154.6697, -26.72176, 185.8822, 45 | 0.01449364, 0.787416, 0.3870929 | 1
-156.6115, 85.50166, 151.3229, -154.6186, -26.56068, 185.8053, 45 | 0.01441917, 0.787747, 0.3870101 | 1
-156.6117, 85.48866, 151.3869, -154.5692, -26.44351, 185.7636, 45 | 0.01434648, 0.7882335, 0.3868187 | 1
-156.6442, 85.38477, 151.5783, -154.4474, -26.01637, 185.8311, 45 | 0.0142141, 0.7902007, 0.3862605 | 1
-156.5895, 85.38047, 151.5974, -154.4084, -26.01252, 185.8332, 45 | 0.01397648, 0.7906435, 0.3860843 | 1
-156.4959, 85.39385, 151.6174, -154.3507, -26.00775, 185.8324, 45 | 0.01366296, 0.7913696, 0.3857194 | 1
-156.4517, 85.31367, 151.7185, -154.232, -25.79417, 185.981, 45 | 0.01359421, 0.7934394, 0.3850837 | 1
-156.4439, 85.24828, 151.7689, -154.1677, -25.69035, 186.0379, 45 | 0.0135912, 0.794268, 0.3849784 | 1
-156.4026, 85.14126, 151.8506, -154.0455, -25.56136, 186.102, 45 | 0.01344299, 0.7955891, 0.3848329 | 1
-156.3167, 85.0843, 151.8806, -153.9488, -25.51744, 186.15, 45 | 0.0132564, 0.7966312, 0.3846471 | 1
-156.3768, 84.69801, 152.0305, -153.7292, -25.18367, 186.5967, 45 | 0.0136925, 0.7998185, 0.3848176 | 1
-156.4886, 84.46828, 152.1402, -153.624, -24.90253, 186.7929, 45 | 0.01414081, 0.8011973, 0.3851364 | 1
-156.5064, 84.34341, 152.2252, -153.5145, -24.70255, 186.7895, 45 | 0.01421562, 0.8019782, 0.3853409 | 1
-156.3617, 84.22205, 152.2952, -153.3059, -24.58584, 186.7201, 45 | 0.01386654, 0.8032973, 0.3853948 | 1
-156.3347, 83.97097, 152.3481, -153.1568, -24.47197, 187.0699, 45 | 0.01402721, 0.8055364, 0.3854772 | 1
-156.3587, 83.44072, 152.4572, -152.8894, -24.18976, 187.8586, 45 | 0.01468989, 0.8100754, 0.3856804 | 1
-156.3927, 83.33997, 152.5104, -152.8018, -24.1165, 187.8407, 45 | 0.01485154, 0.8104855, 0.3859469 | 1
-156.409, 83.18387, 152.6392, -152.6151, -23.82067, 187.6967, 45 | 0.01495811, 0.811298, 0.3863407 | 1
-156.3246, 83.07801, 152.6606, -152.4809, -23.78076, 187.7639, 45 | 0.01494262, 0.8125081, 0.3863329 | 1
-156.2368, 82.90007, 152.6691, -152.3341, -23.77963, 188.0273, 45 | 0.01502034, 0.8144346, 0.3862845 | 1
-156.2513, 82.58754, 152.7386, -152.1592, -23.62018, 188.4974, 45 | 0.01546645, 0.8173105, 0.3862947 | 1
-156.2332, 82.55317, 152.8099, -152.0504, -23.49414, 188.346, 45 | 0.01540941, 0.8177006, 0.3863142 | 1
-156.1498, 82.50256, 152.8243, -151.9505, -23.48744, 188.3718, 45 | 0.01530004, 0.8186103, 0.3861723 | 1
-156.0729, 82.39692, 152.8437, -151.8428, -23.45232, 188.5355, 45 | 0.01525265, 0.8200765, 0.3859863 | 1
-156.1004, 82.21932, 152.9442, -151.7155, -23.22229, 188.6963, 45 | 0.01539043, 0.8217124, 0.3859785 | 1
-156.1639, 82.11092, 153.021, -151.6447, -23.09816, 188.7495, 45 | 0.01552966, 0.82242, 0.3860762 | 1
-156.1305, 81.91195, 153.1119, -151.474, -22.89882, 188.979, 45 | 0.015596, 0.8246942, 0.3858857 | 1
-156.1356, 81.74888, 153.1616, -151.3703, -22.75969, 189.2081, 45 | 0.01583999, 0.8263168, 0.3858361 | 1
-156.2001, 81.58583, 153.2697, -151.2461, -22.49225, 189.2312, 45 | 0.01607609, 0.8272983, 0.3861161 | 1
-156.2592, 81.50218, 153.3386, -151.181, -22.35445, 189.1969, 45 | 0.01620859, 0.8276011, 0.3863429 | 1
-156.2802, 81.40955, 153.4083, -151.0928, -22.15012, 189.1908, 45 | 0.01634181, 0.8283056, 0.3864597 | 1
-156.3177, 81.25896, 153.4589, -151.0169, -22.04324, 189.3708, 45 | 0.01653376, 0.8294165, 0.3865777 | 1
-156.3067, 81.20718, 153.474, -150.9769, -22.03773, 189.4255, 45 | 0.01649734, 0.8298659, 0.3865927 | 1
-156.2807, 81.10825, 153.5556, -150.861, -21.88122, 189.4313, 45 | 0.0163103, 0.8308736, 0.3865724 | 1
